"ID","RSU ID","RSU Code","Hoto Date ","ID (Executed)","Executed FAT (Executed)","Executed HP (Executed)","Hoto Item (Executed)","Incremental Hoto(fibre length) (Executed)"
"K38-0-2024-11-15","K38-0-KOL-11049","K38-0","2024-11-15","btqkm1nig9","8","128","SER-FSDU-CFT-6F","556"
"","","","","btqkjldntu","8","128","SER-FSDU-CFT-12F","245"
"","","","","btqk58iktu","8","128","SER-FSDU-CFT-24F","0"
"K38-0-2023-12-19","K38-0-KOL-11049","K38-0","2023-12-19","8q63r5adr1","12","192","SER-FSDU-CFT-6F","489"
"","","","","8q63i7olch","12","192","SER-FSDU-CFT-12F","283"
"","","","","8q631joccp","12","192","SER-FSDU-CFT-24F","128"
"K38-0-2023-10-21","K38-0-KOL-11049","K38-0","2023-10-21","bosh9g76vf","43","688","SER-FSDU-CFT-6F","1873"
"","","","","boshebgqqv","43","688","SER-FSDU-CFT-12F","1146"
"","","","","boshij99d6","43","688","SER-FSDU-CFT-24F","155"
"K38-0-2023-09-28","K38-0-KOL-11049","K38-0","2023-09-28","fnolse4se5","15","240","SER-FSDU-CFT-6F","465"
"","","","","fnoli42l31","15","240","SER-FSDU-CFT-12F","381"
"","","","","fnolnclb05","15","240","SER-FSDU-CFT-24F","376"
"HN8-0-2025-08-14","HN8-0-KOL-11048","HN8-0","2025-08-14","69desio6uj","25","400","SER-FSDU-CFT-6F","1326"
"","","","","69des32t57","25","400","SER-FSDU-CFT-12F","1172"
"","","","","69de0lhbp2","25","400","SER-FSDU-CFT-24F","230"
"","","","","69dekp5id4","25","400","SER-FSDU-CFT-48F","0"
"BG0-0-2024-01-20","BG0-0-KOL-11047","BG0-0","2024-01-20","f4d5r375nq","75","1200","SER-FSDU-CFT-6F","3985"
"","","","","f4d5ke2624","75","1200","SER-FSDU-CFT-12F","1379"
"","","","","f4d5rc4d51","75","1200","SER-FSDU-CFT-24F","1055"
"","","","","f4n15khbnh","75","1200","SER-FSDU-CFT-48F","0"
"0B7-0-2024-07-19","0B7-0-KOL-11046","0B7-0","2024-07-19","co51qks09a","208","3328","SER-FSDU-CFT-6F","6874"
"","","","","co51quaeqg","208","3328","SER-FSDU-CFT-12F","4496"
"","","","","co51v36gc3","208","3328","SER-FSDU-CFT-24F","767"
"","","","","co51dp1tcv","208","3328","SER-FSDU-CFT-48F","0"
"KRC-0-2024-07-20","KRC-0-KOL-11044","KRC-0","2024-07-20","f5fbud3eck","5","80","SER-FSDU-CFT-6F","213"
"","","","","f5fb77kiam","5","80","SER-FSDU-CFT-12F","164"
"","","","","f5fbl48mbm","5","80","SER-FSDU-CFT-24F","0"
"","","","","f5fb83lp5p","5","80","SER-FSDU-CFT-48F","0"
"KRC-0-2023-01-21","KRC-0-KOL-11044","KRC-0","2023-01-21","433m8dbsj7","142","2272","SER-FSDU-CFT-6F","7709"
"","","","","433m3i8531","142","2272","SER-FSDU-CFT-12F","5206"
"","","","","433mj418st","142","2272","SER-FSDU-CFT-24F","827"
"","","","","433mumf191","142","2272","SER-FSDU-CFT-48F","172"
"1JL-0-2024-12-20","1JL-0-KOL-11043","1JL-0","2024-12-20","emtnilbl5k","29","464","SER-FSDU-CFT-6F","3079"
"","","","","edibbajvps","29","464","SER-FSDU-CFT-12F","1098"
"","","","","edibcbauva","29","464","SER-FSDU-CFT-24F","688"
"","","","","edibsjosui","29","464","SER-FSDU-CFT-48F","0"
